username,listName,movieTitle,releaseDate,dateCreated
dpalfreemanbx,nunc viverra,"Drawn Together Movie: The Movie!, The",2002-04-08,2023-07-30
btarboxdu,dictumst etiam faucibus cursus urna,"Bunch Of Amateurs, A",1992-04-13,2024-07-26
dgurnerdq,penatibus et magnis,Wish Me Away,2017-04-11,2022-08-11
mgleadle6z,consequat lectus in est,Hank and Mike,2012-03-04,2024-11-11
dwatts1v,non interdum in,Bigfoot,2005-03-10,2024-03-03
ethoriusqq,scelerisque mauris sit,"Count Yorga, Vampire",2008-01-31,2024-01-06
woverhu,est risus,BASEketball,2002-09-06,2025-06-04
wfateley6t,vehicula condimentum curabitur in libero,Diverted,2006-11-03,2023-11-26
redgerl,mauris,"Faraway, So Close (In weiter Ferne, so nah!)",2008-03-16,2024-10-03
leveralj2,et eros vestibulum ac,"Last Lions, The",2019-09-03,2024-03-31
astonaryq5,congue eget semper rutrum nulla,Just Like Us,1987-07-21,2023-10-29
amckea5x,faucibus accumsan odio curabitur,Kid Millions,2018-03-07,2023-06-02
alawief0,enim sit,MacGyver: Trail to Doomsday,2003-03-01,2025-04-03
amoldends,duis at velit,Death of a Nation - The Timor Conspiracy,2000-11-22,2024-01-29
mbirtwisle27,congue diam id ornare imperdiet,Lonesome Dove,2000-04-30,2022-03-05
krosenau9m,proin interdum mauris,Sniper: Reloaded ,2012-07-24,2023-08-11
cplayleic,ac tellus semper,Bonnie Scotland (Heroes of the Regiment),1985-03-11,2023-12-29
kburnei9,nulla,Boca,2003-04-05,2022-03-09
cionsfk,congue eget semper rutrum nulla,Corn Island (Simindis kundzuli),1993-06-17,2023-10-29
awestphalmq,dolor sit amet consectetuer adipiscing,Home Run,1981-05-06,2022-11-14
jcroslandgc,massa,Superman II,2004-08-06,2023-10-26
gkainzpo,dictumst aliquam augue quam,Harper Valley P.T.A.,1980-08-28,2023-08-06
dbrierleyhr,velit vivamus,"Three Faces of Eve, The",1999-02-20,2024-02-18
sbilboroughjr,sapien cursus vestibulum,Soloalbum,2001-03-18,2025-01-22
ckunertr8,faucibus cursus urna ut,Amazing Grace and Chuck,2012-03-01,2024-01-26
giowarchd2,nonummy,Wild Animals (Yasaeng dongmul bohoguyeog),2006-10-13,2025-03-06
bsiehardrh,nec sem duis,Soldier's Girl,1995-11-24,2023-07-17
qdunstonebv,pretium,Gator,1984-08-07,2022-04-22
twhitten7n,montes nascetur ridiculus mus,Hiding Cot (Piilopirtti),2001-11-06,2023-09-14
acrosscombecs,faucibus orci luctus et ultrices,Where Danger Lives,2012-01-14,2024-09-01
acrosscombecs,faucibus orci luctus et ultrices,Meet the Spartans,2016-04-21,2024-09-01
drennyck,at,"Assassination (Ansatsu) (Assassination, The) (Assassin, The)",2007-05-13,2022-07-02
jcressorpt,cursus id turpis integer aliquet,Sinbad (Szindbád),2016-10-31,2025-06-06
twhitten7n,montes nascetur ridiculus mus,Broadway Melody of 1938,2007-02-14,2023-09-14
cledgistercp,tellus,"House on 92nd Street, The",2014-12-18,2024-10-24
dsutehall9r,est risus,Shoppen ,2003-05-24,2025-06-04
bsouthby13,at ipsum,Funky Forest: The First Contact,1986-03-02,2023-01-18
craimbauldp0,lacus at velit vivamus,"Kentucky Fried Movie, The",2004-04-15,2023-10-19
arueggr6,quam fringilla rhoncus,Blues Brothers 2000,1980-07-20,2024-04-03
ftavenerpc,odio in,"Las Vegas Story, The",1992-01-19,2022-08-01
eeykelboschdz,diam nam tristique tortor eu,The Magic Box,1994-11-07,2025-07-08
mkiosselbh,donec ut dolor morbi vel,In Secret,1987-12-06,2023-02-03
ddiwell62,congue diam id ornare imperdiet,"Bear, The (Ours, L')",1995-12-24,2022-03-05
dthrossell39,pede ac diam,"Sea Wolf, The",1999-09-24,2023-10-24
cfarlhampu,consectetuer adipiscing,Solino,2014-10-13,2023-12-20
cweatherillkm,dictumst aliquam augue quam,Brown Sugar,2009-12-28,2023-08-06
eaudrittn7,donec ut dolor morbi vel,Fire Down Below,2006-06-05,2023-02-03
dkohenp8,id,O,2000-09-25,2022-07-28
ddiwell62,congue diam id ornare imperdiet,Tombs of the Blind Dead (La noche del terror ciego),1997-05-06,2022-03-05
ggrimmertgj,vestibulum sed magna at,Muddy River,1984-07-15,2023-03-31
dblaisdellgv,non pretium,Shame,2003-06-30,2024-12-03
xvarrowng,vel augue vestibulum,Laila,2004-05-20,2023-02-22
mportwaine7f,duis at velit,Children of Dune,1983-02-22,2024-01-29
rmclellandn2,magna,Mr. Popper's Penguins,1983-08-06,2022-11-08
smuirdenq2,odio porttitor,Ninotchka,1990-09-23,2023-07-03
abristowe8,condimentum curabitur,The Karen Carpenter Story,1996-05-12,2023-06-22
fkastingeg,quam a odio in,Happy Gilmore,2011-08-05,2024-04-18
qdunstonebv,pretium,12 Angry Men,2016-03-14,2022-04-22
mrobkeni5,in,Criminal,1985-07-15,2023-05-17
vtriggolfh,aliquet maecenas leo,Green Chair (Noksaek uija),2005-02-28,2024-04-26
ktessington90,in felis eu,Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage),1988-09-06,2024-09-13
khillbornefp,at,Altered,1998-09-29,2022-07-02
mmanifouldg1,suspendisse ornare consequat,Grave Encounters,1987-10-18,2024-05-07
mlergan9a,pellentesque,Black Rock,1991-08-01,2024-06-19
ibeazerex,nisl nunc,Nothing to Lose,2005-06-16,2025-04-12
tsaterthwaitik,eget elit sodales scelerisque,Losers' Club (Kaybedenler kulübü),1991-07-24,2023-09-18
ccaughte7l,nunc,Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre),2013-01-31,2023-11-26
kcadalleder5,ultrices posuere cubilia,"Mystery of the Third Planet, The (Tayna tretey planety)",2002-09-08,2024-05-16
gjoslandqv,vehicula condimentum curabitur,Deal of the Century,2008-03-10,2024-09-09
ndevallew,consectetuer adipiscing,Kai Po Che!,1987-10-26,2023-12-20
myoude87,sem duis aliquam convallis nunc,Star Trek III: The Search for Spock,2016-11-27,2023-06-11
bsiehardrh,nec sem duis,It's My Party,1989-07-22,2023-07-17
bgarmstoni4,est lacinia,Last Call at the Oasis,1988-02-20,2023-04-01
gasplandr7,convallis,Supporting Characters,1990-11-18,2023-01-09
hjovici2,at turpis,Pentimento,2000-07-02,2022-02-05
rsare9m,congue eget semper rutrum nulla,The Diary of Anne Frank,1994-01-09,2023-10-29
mkiosselbh,donec ut dolor morbi vel,Sazen Tange and the Pot Worth a Million Ryo,1986-09-04,2023-02-03
kstoffersen1g,pellentesque,Fetishes,1997-07-26,2024-06-19
mhattermg,augue,Bonnie and Clyde,2008-04-26,2023-08-28
srevetth2,mollis,Gabriel,2016-12-12,2025-01-21
lrawnsley8i,fusce posuere felis sed lacus,Sweet and Lowdown,1999-06-20,2024-04-11
elucien3o,in hac habitasse platea,Nobody Walks,1984-12-11,2025-05-02
bseagood4s,lacus curabitur at ipsum,"ChubbChubbs!, The",1985-04-11,2025-01-05
apolsinin,vehicula consequat morbi a,"Secret Life of Zoey, The",2007-10-30,2024-04-29
bboddymead9s,a libero nam dui,City Slacker,1987-03-04,2023-11-15
gfrearsonji,ac leo,Dancing in the Rain (Ples v dezju),1984-02-12,2025-02-25
mskillittj2,sollicitudin vitae consectetuer,With Six You Get Eggroll,1992-07-15,2023-06-26
ttiversid,magna,"Alamo, The",1982-11-14,2022-11-08
hlembrickiq,nulla,Telling You,1995-06-05,2022-03-09
ccaughte7l,nunc,Ponyo (Gake no ue no Ponyo),2014-12-29,2023-11-26
adyethy,duis at velit,Army of Crime (L'armée du crime),2011-12-15,2024-01-29
cskoggins7e,justo in blandit,"Acid House, The",2006-04-18,2022-10-19
wpashencr,tellus in sagittis dui vel,Song of the Exile (Ke tu qiu hen),1998-04-10,2025-01-14
lrawnsley8i,fusce posuere felis sed lacus,"Man Who Quit Smoking, The (Mannen som slutade röka)",2015-12-18,2024-04-11
rsolesrg,massa volutpat convallis morbi,Marc Maron: Thinky Pain,2019-05-20,2022-09-16
jpicktonb4,enim in tempor turpis nec,"Philadelphia Experiment, The",2016-04-29,2023-07-04
bduckwithce,amet cursus,Home,2013-03-14,2023-06-25
cglassupcn,est lacinia nisi venenatis,Entity,2018-07-24,2022-09-17
tlivesey4a,pede justo,Evening,2002-05-18,2022-09-26
hreiskpd,aliquet,Shot in the Heart,2012-03-05,2022-02-17
mdamerellfy,nisl nunc rhoncus dui vel,In the Loop,2013-11-05,2024-05-15
gwicher11,tortor quis turpis sed ante,Little Voice,2017-08-23,2024-07-17
lcanbyj5,proin,Shark Alarm at Müggelsee (Hai Alarm am Müggelsee),1998-09-15,2022-12-11
mrobkeni5,in,Wake of the Red Witch,1984-10-29,2023-05-17
ehinckley5p,mattis nibh ligula,Starship Troopers 3: Marauder,2005-08-26,2023-05-18
mbirtwisle27,congue diam id ornare imperdiet,Lorna's Silence (Le silence de Lorna),2001-05-24,2022-03-05
dhawketl1,amet lobortis sapien sapien,Great Directors,2010-05-07,2023-11-10
astrivensmf,velit vivamus,In the Soup,2002-08-21,2024-02-18
dbredgeland92,nec sem duis,Kelly's Heroes,1998-04-01,2023-07-17
ccolesmq,libero quis orci nullam,12 Dates of Christmas,2003-07-04,2023-02-15
kcadalleder5,ultrices posuere cubilia,"Defender, The (a.k.a. Bodyguard from Beijing, The) (Zhong Nan Hai bao biao)",1986-01-09,2024-05-16
switton7s,nullam molestie nibh in,"Fortune Cookie, The",1987-06-03,2023-06-06
wvittelg0,a ipsum integer a,Silvestre,1983-05-21,2022-12-18
posbournn1,ut volutpat,Fear and Trembling (Stupeur et tremblements),1995-11-19,2024-01-06
gspadaro73,duis,Innocent Voices (Voces inocentes),1996-05-02,2023-02-15
bfishwickau,praesent blandit nam nulla integer,Giliap,1984-02-07,2024-08-13
jchaineyjq,nullam molestie nibh in,The Adventures of Tom Thumb & Thumbelina,1990-03-03,2023-06-06
gnairyrb,non quam nec dui,"Last House on the Left, The",1981-03-11,2023-05-01
astonaryq5,congue eget semper rutrum nulla,Willow Creek,1986-06-06,2023-10-29
hdelouchfh,mattis pulvinar nulla pede,Trailer Park Jesus,2011-01-09,2023-04-17
cweatherillkm,dictumst aliquam augue quam,"Decameron, The (Decameron, Il)",2001-12-24,2023-08-06
hshiel12,lorem integer tincidunt,Hungry for Change,2003-08-09,2024-04-18
rmittone8,nisl nunc rhoncus,Sniper: Reloaded ,2012-07-24,2024-03-16
lrawnsley8i,fusce posuere felis sed lacus,Reach the Rock,1989-01-06,2024-04-11
tmansion2w,turpis elementum ligula vehicula,Tales of the Grim Sleeper,2008-08-21,2024-04-22
jpicktonb4,enim in tempor turpis nec,And Then Came Lola,1987-09-05,2023-07-04
hjovici2,at turpis,Get Thrashed: The Story of Thrash Metal,1995-08-20,2022-02-05
tjorrylf,porttitor lacus at turpis,East Meets West (Dung sing sai tsau 2011),1984-03-28,2023-08-18
ggrimmertgj,vestibulum sed magna at,Endgame,1986-06-03,2023-03-31
bsouthby13,at ipsum,"Bostonians, The",1989-08-08,2023-01-18
pmacswaydeox,curabitur at ipsum,"Wise Guys, The (Les grandes gueules)",2000-12-23,2024-03-29
adyethy,duis at velit,Waking Up in Reno,1998-07-18,2024-01-29
afludgatehm,rutrum neque aenean auctor,Food Matters,1989-06-13,2022-07-02
wwhitehurst6u,blandit lacinia erat vestibulum sed,Rosewater,1996-09-03,2024-02-07
creviehb,aliquet maecenas leo,Notorious,1995-10-07,2024-04-26
challstonei1,vestibulum,Elia Kazan: A Director's Journey,1991-06-06,2022-11-22
hsimoneschi5x,elementum nullam varius,Beethoven's Treasure Tail,1984-01-08,2024-01-18
gkainzpo,dictumst aliquam augue quam,"Honey, I Blew Up the Kid",2015-02-14,2023-08-06
acrossgrovejn,cursus id,"Factory, The",2012-12-10,2022-09-15
llavistege,proin eu mi,If Footmen Tire You What Will Horses Do?,2001-03-26,2023-05-01
hjovici2,at turpis,Hell and Back Again,2012-09-09,2022-02-05
fmanifoldrk,tempus semper est quam pharetra,"Deux mondes, Les",1985-11-22,2023-03-05
mfalla7t,vestibulum aliquet,My Flesh My Blood (Moja krew),2004-03-10,2023-03-19
rlinklu,nunc viverra,"Falcon and the Snowman, The",1984-09-13,2023-07-30
dblaisdellgv,non pretium,Shadow of the Thin Man,2001-02-16,2024-12-03
adunkerly8i,fermentum donec ut mauris eget,Rabbit Test,2014-08-18,2025-08-06
amoldends,duis at velit,Rhyme & Reason,2001-03-17,2024-01-29
chullrn,est risus,All's Faire in Love,1985-12-30,2025-06-04
astairsk,congue diam id ornare imperdiet,Bloody Pit of Horror (Il boia scarlatto) (Virgins for the Hangman),1989-12-02,2022-03-05
cnolleaub2,duis at velit,"Most Dangerous Game, The",2018-03-31,2024-01-29
cglassupcn,est lacinia nisi venenatis,Hamlet Goes Business (Hamlet liikemaailmassa),2010-10-21,2022-09-17
bboddymead9s,a libero nam dui,Ghost Rider: Spirit of Vengeance,2009-01-02,2023-11-15
esilkston5i,facilisi cras non velit,Moment by Moment,1987-02-08,2022-07-27
sgreser8n,aliquet ultrices erat tortor,Two Rabbits (2 Coelhos),1980-05-11,2023-05-15
ufenelon8j,nascetur ridiculus mus,Blank City,1990-02-03,2025-08-25
giowarchd2,nonummy,Jacknife,2004-10-24,2025-03-06
acrosscombecs,faucibus orci luctus et ultrices,"Haunting in Connecticut, The",2016-06-25,2024-09-01
gnairyrb,non quam nec dui,I'll See You in My Dreams,1995-05-29,2023-05-01
lpullff,amet lobortis sapien sapien,"Now You See Him, Now You Don't",2010-11-08,2023-11-10
ndiessll,ut,Me and Morrison (Minä ja Morrison),2002-02-07,2024-05-29
knystrom7a,quam fringilla rhoncus mauris,Regular Guys (Echte Kerle),2010-10-27,2023-08-18
lpenwardenpy,sed justo pellentesque viverra pede,"Flying Swords of Dragon Gate, The (Long men fei jia)",2016-04-01,2025-04-16
hjovici2,at turpis,Pan Tadeusz: The Last Foray in Lithuania (Pan Tadeusz),1994-02-14,2022-02-05
tedelermu,semper porta volutpat quam pede,Fool for Love,1997-06-05,2023-06-26
dbredgeland92,nec sem duis,Apartment 4E ,2015-06-08,2023-07-17
acarer1,non quam nec dui,Eddie Izzard: Force Majeure Live,1987-12-11,2023-05-01
cblackledgeom,tortor quis turpis sed ante,"Last Polka, The",2005-09-23,2024-07-17
eparminterg6,donec ut dolor morbi vel,Billy the Kid,1998-10-15,2023-02-03
bgoskerq7,fusce posuere felis sed lacus,8 1/2 (8½),2016-03-23,2024-04-11
tjorrylf,porttitor lacus at turpis,Sound City,2015-09-06,2023-08-18
lpullff,amet lobortis sapien sapien,Let It Snow,2017-01-14,2023-11-10
rlinklu,nunc viverra,Starbuck,1990-07-09,2023-07-30
ncrown3g,amet justo morbi ut odio,Rise,2018-05-03,2023-06-23
vtriggolfh,aliquet maecenas leo,99 and 44/100% Dead,1983-01-09,2024-04-26
cweatherillkm,dictumst aliquam augue quam,"Five-Year Engagement, The",2002-03-29,2023-08-06
krouff3m,a ipsum integer a,Summer with Monika (Sommaren med Monika),2019-11-22,2022-12-18
ufenelon8j,nascetur ridiculus mus,"Spitfire Grill, The",2004-06-02,2025-08-25
mschermickfg,elementum nullam varius,Going Berserk,2011-08-12,2024-01-18
amadgin5c,velit vivamus,Maniac Cop,1991-12-30,2024-02-18
bgoskerq7,fusce posuere felis sed lacus,Général Idi Amin Dada: A Self Portrait (Général Idi Amin Dada: Autoportrait),1987-10-30,2024-04-11
gneubigin4e,vehicula condimentum curabitur,Schmatta: Rags to Riches to Rags,1981-05-14,2024-09-09
posbournn1,ut volutpat,Pal Joey,2018-08-11,2024-01-06
kganniclifftgo,luctus ultricies eu nibh quisque,"Story of Vernon and Irene Castle, The",1989-01-21,2023-02-11
bsnodaygg,imperdiet nullam orci pede,I Have Found It (Kandukondain Kandukondain),2008-04-27,2024-04-03
gjoslandqv,vehicula condimentum curabitur,Flower & Garnet,1982-05-16,2024-09-09
cisacqgg,et eros vestibulum ac,Bend of the River,1999-03-01,2024-03-31
mgoodspeed3b,faucibus orci luctus et ultrices,Kumaré,1980-05-16,2024-09-01
cglassupcn,est lacinia nisi venenatis,Sound and Fury,2007-03-17,2022-09-17
gfrearsonji,ac leo,Max Manus,1980-04-03,2025-02-25
mgoodspeed3b,faucibus orci luctus et ultrices,Crush,2010-02-06,2024-09-01
avandijk5c,curae mauris viverra,Pollyanna,2012-12-09,2025-06-27
mschermickfg,elementum nullam varius,Police Python 357,1986-03-04,2024-01-18
wphilippet6v,donec ut dolor morbi vel,"Lady of Chance, A",1983-04-23,2023-02-03
myoude87,sem duis aliquam convallis nunc,Attack on the Iron Coast,1986-04-08,2023-06-11
bboddymead9s,a libero nam dui,Disaster L.A.,1981-07-31,2023-11-15
redgerl,mauris,"Brother Sun, Sister Moon (Fratello sole, sorella luna)",2015-03-23,2024-10-03
sgreser8n,aliquet ultrices erat tortor,Final Fantasy VII: Advent Children,1982-10-17,2023-05-15
askipseyp6,nulla,Sound and Fury,1990-07-15,2022-03-09
bgarmstoni4,est lacinia,Rogue Cop,1988-09-14,2023-04-01
